,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,Mulherzinhas,Louisa May Alcott ; trad. Rita Carvalho e Guerra,"Lisboa : Guerra e Paz, 2020",1,2017,12 - 14 anos,Literatura,Louisa May Alcott , trad. Rita Carvalho e Guerra
1,A árvore dos desejos,"William Faulkner ; il. Don Bolognese ; trad. Vladimiro Nunes, Fátima Fonseca","Lisboa : Ponto de Fuga, 2017",1,2017,12 - 14 anos,Literatura,William Faulkner ," il. Don Bolognese ; trad. Vladimiro Nunes, Fátima Fonseca"
2,O número das estrelas,Lois Lowry ; trad. Tiago Marques,"Amadora : Booksmile, 2016",1,2017,12 - 14 anos,Literatura,Lois Lowry , trad. Tiago Marques
3,Dédalo : o maior inventor do mundo,João Manuel Ribeiro ; il. Bolota,"Porto : Trinta Por Uma Linha, 2016",1,2017,12 - 14 anos,Literatura,João Manuel Ribeiro , il. Bolota
4,Pardinhas,António Mota,"Alfragide : Asa II, 2016",1,2017,12 - 14 anos,Literatura,António Mota,
5,Um dia de loucos : trinta ossos duros de roer,Walter Benjamin ; il. Marta Monteiro ; trad. João Barrento,"Figueira da Foz : Bruaá Ed., 2016",1,2017,12 - 14 anos,Literatura,Walter Benjamin , il. Marta Monteiro ; trad. João Barrento
6,Uma terra prometida : contos sobre refugiados,org. José Fanha ; textos Afonso Cruz... [et al.],"Lisboa : IN Ed., 2016",1,2017,12 - 14 anos,Literatura,org. José Fanha , textos Afonso Cruz... [et al.]
7,O retrato de Dorian Gray,Oscar Wilde ; trad. Rui Santana Brito,"Lisboa : Guerra e Paz, 2016",1,2017,12 - 14 anos,Literatura,Oscar Wilde , trad. Rui Santana Brito
8,Viagens com o Charley,John Steinbeck ; trad. Sousa Victorino,"Lisboa : Livros do Brasil ; Porto : Porto Ed., 2016",1,2017,12 - 14 anos,Literatura,John Steinbeck , trad. Sousa Victorino
9,Quem me dera ser onda : romance,Manuel Rui,"Lisboa : Clube do livro, imp. 2016",1,2017,12 - 14 anos,Literatura,Manuel Rui,
10,Remédios literários : livros para salvar a sua vida  : de A a Z,Ella Berthoud e Susan Elderkin ; trad. de Cristina Rodriguez e de Artur Guerra,"Lisboa : Quetzal, 2016",1,2017,12 - 14 anos,Literatura,Ella Berthoud e Susan Elderkin , trad. de Cristina Rodriguez e de Artur Guerra
11,Mulherzinhas,Louisa May Alcott ; trad. Rita Carvalho e Guerra,"Lisboa : Guerra e Paz, 2016",1,2017,12 - 14 anos,Literatura,Louisa May Alcott , trad. Rita Carvalho e Guerra
12,Os sonhadores,António Mota,"Alfagide : Asa II, 2016",1,2017,12 - 14 anos,Literatura,António Mota,
13,José Saramago : homem-rio,Inês Fonseca Santos ; il. João Maio Pinto,"[Lisboa] : Imprensa Nacional - Casa da Moeda : Pato Lógico, 2016",1,2017,12 - 14 anos,Literatura,Inês Fonseca Santos , il. João Maio Pinto
14,A volta ao mundo em 80 dias,Júlio Verne ; ilustrações originais Alphonse de Neuville e Léon Benett ; trad. Helder Guégués,ISBN: 978-989-702-185-5,1,2017,12 - 14 anos,Literatura,Júlio Verne , ilustrações originais Alphonse de Neuville e Léon Benett ; trad. Helder Guégués
15,Os livros da selva,"Rudyard Kipling ; il. J. Lockwood Kipling, W. H. Drake e P. Frenzeny ; trad. e notas Ana Falcão Bastos, Mara Vieira Neves e Alda Rodrigues",ISBN: 978-989-641-613-3,1,2017,12 - 14 anos,Literatura,Rudyard Kipling ," il. J. Lockwood Kipling, W. H. Drake e P. Frenzeny ; trad. e notas Ana Falcão Bastos, Mara Vieira Neves e Alda Rodrigues"
16,Pax : a história comovente de uma amizade entre um rapaz e um raposinho,Sara Pennypacker ; il. Jon Klassen ; trad. Andreia Mendonça,"Amadora : Booksmile, 2016",1,2017,12 - 14 anos,Literatura,Sara Pennypacker , il. Jon Klassen ; trad. Andreia Mendonça
17,Klaus,Felipe Nunes,ISBN: 978-989-8513-53-3,1,2017,12 - 14 anos,Literatura,Felipe Nunes,
18,A célebre rã saltadora do condado de Calaveras = The celebrated jumping frog of Calaveras county,Mark Twain. Rikki-tikki-tavi,"Lisboa : Guerra e Paz, 2016",1,2017,12 - 14 anos,Literatura,Mark Twain. Rikki-tikki-tavi,
19,Diário de um adolescente na Lisboa de 1910,Alice Vieira ; il. Patrícia Furtado,"Lisboa, : Texto, 2016",1,2017,12 - 14 anos,Literatura,Alice Vieira , il. Patrícia Furtado
20,Vamos comprar um poeta,Afonso Cruz,"Alfragide : Caminho, cop. 2016",2,2017,12 - 14 anos,Literatura,Afonso Cruz,
21,Um cântico de Natal,Charles Dickens ; il. John Leech ; trad. Alexandra Aragão,ISBN: 978-989-641-684-3,2,2017,12 - 14 anos,Literatura,Charles Dickens , il. John Leech ; trad. Alexandra Aragão
22,O nariz,Nikolai Gogol ; il. Evelina Oliveira ; trad. Tânia Simões,"Lisboa : Barca do Inferno, 2014",2,2017,12 - 14 anos,Literatura,Nikolai Gogol , il. Evelina Oliveira ; trad. Tânia Simões
23,O rapaz dos sapatos prateados,Álvaro Magalhães,"Alfragide : Asa II, 2013",2,2017,12 - 14 anos,Literatura,Álvaro Magalhães,
24,O romance de Tristão e Isolda,renovado por Joseph Bédier ; trad. e apres. Aníbal Fernandes,"Lisboa : Sistema Solar, 2012",2,2017,12 - 14 anos,Literatura,renovado por Joseph Bédier , trad. e apres. Aníbal Fernandes
