,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O intruso,Stephen King ; trad. Ana Lourenço e Maria João Lourenço,"Lisboa : Bertrand, 2021",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Stephen King , trad. Ana Lourenço e Maria João Lourenço
1,Segunda fundação,Isaac Asimov ; trad. Jorge Colaço,"Porto Salvo : Saída de Emergência, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Isaac Asimov , trad. Jorge Colaço
2,Fundação e império,Isaac Asimov ; trad. Jorge Colaço,"Porto Salvo : Saída de Emergência, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Isaac Asimov , trad. Jorge Colaço
3,O intruso,Stephen King ; trad. Ana Lourenço e Maria João Lourenço,"Lisboa : Bertrand, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Stephen King , trad. Ana Lourenço e Maria João Lourenço
4,Diário do ano da peste,Daniel Defoe ; trad. e introd. João Gaspar Simões ; pref. Rui Tavares,"Lisboa : Pim!, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Daniel Defoe , trad. e introd. João Gaspar Simões ; pref. Rui Tavares
5,Elevação,Stephen King ; trad. Ana Lourenço,"Lisboa : Bertrand, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Stephen King , trad. Ana Lourenço
6,Consentimento,Vanessa Springora ; trad. Tânia Ganho,"Lisboa : Alfaguara, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Vanessa Springora , trad. Tânia Ganho
7,Heathcliff : 18 sonetos shakesperianos,D. H. Machado ; il. Gustav Klimt,"Almada : The Poets and Dragons Society, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,D. H. Machado , il. Gustav Klimt
8,Ficções,Jorge Luis Borges ; trad. José Colaço Barreiros,"Lisboa : Quetzal, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Jorge Luis Borges , trad. José Colaço Barreiros
9,Desvio,Ana Pessoa ; il. Bernardo P. Carvalho,"Carcavelos : Planeta Tangerina, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Ana Pessoa , il. Bernardo P. Carvalho
10,A alma perdida,Olga Tokarczuk ; il. Joanna Concejo ; trad. Teresa Fernandes Swiatkiewicz,"Amadora : Fábula, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Olga Tokarczuk , il. Joanna Concejo ; trad. Teresa Fernandes Swiatkiewicz
11,E tudo o vento levou,Margaret Mitchell ; trad. Frederico Pedreira,ISBN: 978-989-783-003-7,1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Margaret Mitchell , trad. Frederico Pedreira
12,O breve reinado de Pepino IV,John Steinbeck ; trad. José Carlos González ; des. William Pène du Bois,"Lisboa : Livros do Brasil, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,John Steinbeck , trad. José Carlos González ; des. William Pène du Bois
13,Trilogia Thomas Cromwell,Hilary Mantel,"Barcarena : Presença, 2020-",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Hilary Mantel,
14,Mrs Palfrey no Claremont,Elizabeth Taylor ; trad. Margarida Periquito,ISBN: 978-989-641-984-4,1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Elizabeth Taylor , trad. Margarida Periquito
15,Ensaio sobre o dia conseguido : um sonho de dia de Inverno,Peter Handke ; trad. Alexandra Lopes,ISBN: 978-989-783-017-4,1,2020 - 2.o Sem.,15 - 18 anos,Literatura,Peter Handke , trad. Alexandra Lopes
16,O fotógrafo de Auschwitz,"Luca Crippa, Maurizio Onnis ; trad. de P. Vieira","Barcarena : Presença, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,"Luca Crippa, Maurizio Onnis ", trad. de P. Vieira
17,Os sete pilares da sabedoria,T. E. Lawrence ; trad. Marcelino Amaral,"Silveira : E-Primatur, 2020",1,2020 - 2.o Sem.,15 - 18 anos,Literatura,T. E. Lawrence , trad. Marcelino Amaral
