,title,author,publisher,res_page,age_recom,theme,PNLedition,1st_author,other_authors
0,História de um homem comum,"George Orwell ; introd., trad. e notas Jacinta Maria Matos","Silveira : E-Primatur, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,George Orwell ," introd., trad. e notas Jacinta Maria Matos"
1,Lugar nenhum = Neverwhere,Neil Gaiman ; trad. Renato Carreira,"Porto Salvo : Saída de Emergência, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Neil Gaiman , trad. Renato Carreira
2,O mundo que conhecíamos,Alice Hoffman ; trad. Inês Guerreiro,"Lisboa : Suma de Letras, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Alice Hoffman , trad. Inês Guerreiro
3,Harmonia : roteiro para um bem-estar emocional,Pedro Strecht ; des. Álvaro Siza Vieira,"Lisboa : Contraponto, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Pedro Strecht , des. Álvaro Siza Vieira
4,O rei Artur e os cavaleiros da Távola Redonda,Howard Pyle ; apresent. Adriana Veleda ; il. Weberson Santiago ; trad. Carlos Sousa de Almeida,"Porto : Porto Ed., 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Howard Pyle , apresent. Adriana Veleda ; il. Weberson Santiago ; trad. Carlos Sousa de Almeida
5,A vida contada por um Sapiens a um Neandertal,Juan José Millás e Juan Luis Arsuaga  ; trad. de P. Vieira,"Barcarena : Presença, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Juan José Millás e Juan Luis Arsuaga  , trad. de P. Vieira
6,Amor de perdição : memórias duma família,Camilo Castelo Branco ; ed. de Ivo Castro ; introd. de Abel Barros Baptista,"Lisboa : Penguin, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Camilo Castelo Branco , ed. de Ivo Castro ; introd. de Abel Barros Baptista
7,As brumas de Avalon,Marion Zimmer Bradley ; trad. Maria Dulce Teles de Menezes,"S. Pedro do Estoril : Saída de Emergência, 2022-",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Marion Zimmer Bradley , trad. Maria Dulce Teles de Menezes
8,O filho da feiticeira,Kelly Barnhill ; trad. Dinis Pires,ISBN: 978-989-9027-84-8,1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Kelly Barnhill , trad. Dinis Pires
9,O Principezinho,Antoine de Saint-Exupéry ; trad. do francês Tiago Marques,"Lisboa : Fábula, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Antoine de Saint-Exupéry , trad. do francês Tiago Marques
10,Ana de Avonlea,Lucy Maud Montgomery ; trad. João Pedro Tapada,ISBN: 978-989-9027-76-3,1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Lucy Maud Montgomery , trad. João Pedro Tapada
11,Histórias alegres,Carlo Collodi ; trad. Ana Cláudia Santos ; il. Enrico Mazzanti,"Silveira : E-Primatur, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Carlo Collodi , trad. Ana Cláudia Santos ; il. Enrico Mazzanti
12,Prosa,Eugénio de Andrade ; pref. de Frederico Bertolazzi,"Porto : Assírio e Alvim, 2022",1,15 - 18 anos,Literatura,2022 - 1.o Sem.,Eugénio de Andrade , pref. de Frederico Bertolazzi
