,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,O pintor debaixo do lava-loiças,Afonso Cruz,"Alfragide : Caminho, 2022",1,Antes 2017,15 - 18 anos,Literatura,Afonso Cruz,
1,A ilustre casa de Ramires,Eça de Queirós ; fixação do texto e notas de Helena Cidade Moura ,"Porto : Livros do Brasil, 2022",1,Antes 2017,15 - 18 anos,Literatura,Eça de Queirós , fixação do texto e notas de Helena Cidade Moura 
2,As ilhas desconhecidas : notas e paisagens,Raul Brandão,"Lisboa : Quetzal, 2022",1,Antes 2017,15 - 18 anos,Literatura,Raul Brandão,
3,Se isto é um homem,Primo Levi ; trad. Simonetta Cabrita Neto,"Lisboa : Dom Quixote, imp. 2021",1,Antes 2017,15 - 18 anos,Literatura,Primo Levi , trad. Simonetta Cabrita Neto
4,Contos completos : (1947-1992),Gabriel García Márquez ; trad. Miguel Serras Pereira,"Lisboa : Dom Quixote, 2021",1,Antes 2017,15 - 18 anos,Literatura,Gabriel García Márquez , trad. Miguel Serras Pereira
5,Os Maias : episódios da vida romântica,"Eça de Queirós ; fixação do texto, nota e rev. Helder Guégués ; [posf. António Eça de Queiroz]","Lisboa : Guerra & Paz, 2021",1,Antes 2017,15 - 18 anos,Literatura,Eça de Queirós ," fixação do texto, nota e rev. Helder Guégués ; [posf. António Eça de Queiroz]"
6,Se isto é um homem,Primo Levi ; trad. Simonetta Cabrita Neto,"Lisboa : Dom Quixote, imp. 2020",1,Antes 2017,15 - 18 anos,Literatura,Primo Levi , trad. Simonetta Cabrita Neto
7,A condição humana,André Malraux ; trad. e pref. Jorge de Sena,"Porto : Livros do Brasil, 2020",1,Antes 2017,15 - 18 anos,Literatura,André Malraux , trad. e pref. Jorge de Sena
8,"Sermão de Santo António : pregado na cidade de S. Luís do Maranhão, ano de 1654",Padre António Vieira ; il. João Catarino,"Porto : Porto Ed., 2020",1,Antes 2017,15 - 18 anos,Literatura,Padre António Vieira , il. João Catarino
9,Um deus passeando pela brisa da tarde,Mário de Carvalho  ,"Porto : Porto Ed., imp. 2020",1,Antes 2017,15 - 18 anos,Literatura,Mário de Carvalho  ,
10,Farsa de Inês Pereira,Gil Vicente ; Ângela Vieira ,ISBN: 978-972-0-72675-9,1,Antes 2017,15 - 18 anos,Literatura,Gil Vicente , Ângela Vieira 
