,title,author,publisher,res_page,PNLedition,age_recom,theme,1st_author,other_authors
0,As mais belas coisas do mundo,Valter Hugo Mãe ; arte de Nino Cais,"Porto : Porto Ed., 2021",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Valter Hugo Mãe , arte de Nino Cais
1,À procura de ontem,Alison Jay ; trad. de Luísa Costa Gomes,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Alison Jay , trad. de Luísa Costa Gomes
2,Peregrinação de Fernão Mendes Pinto : aventuras extraordinárias dum português no Oriente,adapt. Aquilino Ribeiro ; il. Pedro Rosa,"Lisboa : Bertrand, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,adapt. Aquilino Ribeiro , il. Pedro Rosa
3,Endireita-te,Rémi Courgeon ; trad. Maria Afonso,"Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Rémi Courgeon , trad. Maria Afonso
4,"1.o Direito : uma história com intriga, muitas janelas e uma graça indiscreta",Ricardo Henriques e Nicolau,"[Lisboa] : Pato Lógico, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Ricardo Henriques e Nicolau,
5,As meninas exemplares,Condessa de Ségur ; trad. Raquel Mouta ; pref. Maria do Rosário Pedreira,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Condessa de Ségur , trad. Raquel Mouta ; pref. Maria do Rosário Pedreira
6,A maravilhosa viagem de Nils Holgersson através da Suécia,Selma Lagerlöf ; trad. João Reis ; il. Bertil Lybeck,"Porto : Sextante, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Selma Lagerlöf , trad. João Reis ; il. Bertil Lybeck
7,Razões para ler : voltando a falar de metáforas,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro","Alcabideche : Nósnalinha, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro",
8,Histórias das mil e uma noites,adapt. Amy Steedman ; il. Weberson Santiago ; trad. Anima El Guendy,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,adapt. Amy Steedman , il. Weberson Santiago ; trad. Anima El Guendy
9,O que fazer com um problema?,texto Kobi Yamada ; il. Mae Besom ; trad. Dália Rodrigues,"Lisboa : Zero a Oito, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto Kobi Yamada , il. Mae Besom ; trad. Dália Rodrigues
10,Os filhos do deserto,Francisco Sousa Faria da Silva,"Porto : Coolbooks, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Francisco Sousa Faria da Silva,
11,O muro no meio do livro,Jon Agee ; trad. Joana Gonçalves,"Lisboa : Nuvem de Letras, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Jon Agee , trad. Joana Gonçalves
12,"Olá, Farol",Sophie Blackall ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Sophie Blackall , trad. Susana Cardoso Ferreira
13,Para que serve?,José Maria Vieira Mendes ; il. Madalena Matoso,"Carcavelos : Planeta Tangerina, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,José Maria Vieira Mendes , il. Madalena Matoso
14,O que fazer com uma ideia?,texto Kobi Yamada ; il. Mae Besom ; trad. Dália Rodrigues,"Lisboa : Zero a Oito, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto Kobi Yamada , il. Mae Besom ; trad. Dália Rodrigues
15,O Jaime é uma sereia,Jessica Love ; trad. Susana Cardoso Ferreira,"Amadora : Fábula, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Jessica Love , trad. Susana Cardoso Ferreira
16,Histórias de Dom Quixote,Miguel de Cervantes ; adapt. John Lang ; il. Weberson Santiago ; trad. Filomena Aguiar de Vasconcelos,"Porto : Porto Ed., 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Miguel de Cervantes , adapt. John Lang ; il. Weberson Santiago ; trad. Filomena Aguiar de Vasconcelos
17,Os pássaros,"Germano Zullo, Albertine ; trad. Maria Afonso","Lisboa : Orfeu Negro, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,"Germano Zullo, Albertine ", trad. Maria Afonso
18,Dois pequenos heróis,Sarah Lean ; il. Gary Blythe ; trad. Ana Pereira Ribeiro,"Amadora : Booksmile, 2020",1,2020 - 1.º Sem.,9 - 11 anos,Literatura,Sarah Lean , il. Gary Blythe ; trad. Ana Pereira Ribeiro
19,O Jorge e a sua sombra,"Davide Cali, Serge Bloch ; trad. Filipa Velosa",ISBN: 978-84-17222-54-3,1,2020 - 1.º Sem.,9 - 11 anos,Literatura,"Davide Cali, Serge Bloch ", trad. Filipa Velosa
20,A história do rei Artur e dos seus cavaleiros,Howard Pyle ; trad. Carlos Sousa de Almeida,"Porto : Sextante, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Howard Pyle , trad. Carlos Sousa de Almeida
21,Contos ao telefone,Gianni Rodari ; il. de Pablo Otero ; trad. Elisabete Ramos,ISBN: 978-989-749-118-4,2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Gianni Rodari , il. de Pablo Otero ; trad. Elisabete Ramos
22,Histórias de chocolate,texto José Jorge Letria ; il. Célia Fernandes,"Alfragide : Dom Quixote, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto José Jorge Letria , il. Célia Fernandes
23,Como cozinhar uma criança,Afonso Cruz,"Lisboa : Alfaguara, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Afonso Cruz,
24,As aventuras de Tom Sawyer,Mark Twain ; trad. Luísa Derouet e Eugénio Baptista de Castro,"Porto : Porto Ed., 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Mark Twain , trad. Luísa Derouet e Eugénio Baptista de Castro
25,Lendas : (uma seleção),Gentil Marques ; il. Aurélie de Sousa,"Porto : Porto Ed., 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Gentil Marques , il. Aurélie de Sousa
26,Em casa,Inês Almeida e Nicholas Carvalho,"Lisboa : Casa Nic e Inês, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Inês Almeida e Nicholas Carvalho,
27,História ilustrada do rock,Susana Monteagudo ; [il.] Luis Demano ; trad. João Berhan,"Lisboa : Orfeu Negro, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Susana Monteagudo , [il.] Luis Demano ; trad. João Berhan
28,O segredo da poção mágica,"Olivier Gay ; des. Fabrice Tarrin ; cor Thierry Mébarki ; segundo um filme Louis Clichy e Alexandre Astier ; trad. e adapt. Maria José Pereira, Paula Caetano","Alfragide : Asa II, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Olivier Gay ," des. Fabrice Tarrin ; cor Thierry Mébarki ; segundo um filme Louis Clichy e Alexandre Astier ; trad. e adapt. Maria José Pereira, Paula Caetano"
29,As meninas exemplares,Condessa de Ségur ; trad. Isabel Lopes ; il. Bertall,"Lisboa : Guerra e Paz, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Condessa de Ségur , trad. Isabel Lopes ; il. Bertall
30,Histórias da Maria-dos-olhos-grandes e do Zé Pimpão,Jorge Canuto Glória ; il. Rita Correia,"Lisboa : The Poets and Dragons Society, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Jorge Canuto Glória , il. Rita Correia
31,Histórias da Maria-dos-olhos-grandes e do Zé Pimpão,Jorge Canuto Glória ; il. Rita Correia,"Lisboa : The Poets and Dragons Society, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Jorge Canuto Glória , il. Rita Correia
32,Os noivos do Inverno,Christelle Dabos ; trad. Helena Guimarães,"Alfragide : Asa II, 2019-",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Christelle Dabos , trad. Helena Guimarães
33,A Lídia no país das armadilhas : a história maravilhosa da Imprensa Nacional,texto Luís Almeida Martins ; il. Mantraste,"Lisboa : Imprensa Nacional-Casa da Moeda : Pato Lógico, 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto Luís Almeida Martins , il. Mantraste
34,Peregrinação de Fernão Mendes Pinto : aventuras extraordinárias dum português no Oriente,adapt. Aquilino Ribeiro ; il. Ângela Vieira,"Porto : Porto Ed., 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,adapt. Aquilino Ribeiro , il. Ângela Vieira
35,As mais belas coisas do mundo,Valter Hugo Mãe ; arte de Nino Cais,"Porto : Porto Ed., 2019",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Valter Hugo Mãe , arte de Nino Cais
36,Caixa da gratidão,Margarida Fonseca Santos,"Amadora : Fábula, 2018",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,Margarida Fonseca Santos,
37,João Timoneiro,texto e il. Madalena Moniz,"Lisboa : Orfeu Negro, 2018",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto e il. Madalena Moniz,
38,O medo o que é?,texto José Jorge Letria ; il. Catarina Correia Marques,"Alfragide : Texto, 2018",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,texto José Jorge Letria , il. Catarina Correia Marques
39,Canções do ar e das coisas altas,João Pedro Mésseder e Rachel Caiano,"Alfragide : Caminho, 2018",2,2020 - 1.º Sem.,9 - 11 anos,Literatura,João Pedro Mésseder e Rachel Caiano,
40,O encantador de pássaros,José Carlos Rocha,"Lisboa : Chiado Ed., 2017",3,2020 - 1.º Sem.,9 - 11 anos,Literatura,José Carlos Rocha,
