,name,nationality
0,Louisa May Alcott ,none
1,William Faulkner ,"Oxford, Mississippi"
2,Lois Lowry ,American
3,João Manuel Ribeiro ,none
4,António Mota,none
5,Walter Benjamin ,Berlin
6,org. José Fanha ,José
7,Oscar Wilde ,"born October 16, 1854, Dublin, Ireland"
8,John Steinbeck ,none
9,Manuel Rui,Angolan
10,Ella Berthoud e Susan Elderkin ,none
11,Inês Fonseca Santos ,none
12,Júlio Verne ,French
13,Rudyard Kipling ,British
14,Sara Pennypacker ,American
15,Felipe Nunes,Brazilian
16,Mark Twain. Rikki-tikki-tavi,India
17,Alice Vieira ,none
18,Afonso Cruz,portuguese
19,Charles Dickens ,English
20,Nikolai Gogol ,Russian
21,Álvaro Magalhães,none
22,renovado por Joseph Bédier ,none
23,[texto] e il. Valter Hugo Mãe,none
24,Hans Christian Andersen ,"Odense, Denmark"
25,Roald Dahl ,Norwegian descent
26,Joana Bértholo ,none
27,Brian Selznick ,"East Brunswick, New Jersey"
28,Maria Francisca Macedo ,none
29,"Isabel Minhós Martins, Bernardo P. Carvalho",none
30,Isabel Maria Fidalgo Mateus ,none
31,Philip Pullman ,Philip Nicholas Pullman
32,David Almond ,British
33,Heather Morris ,American
34,Michel Rio ,French
35,José Jorge Letria ,Portuguese
36,Eça de Queirós ,none
37,Júlio verne ,French
38,R. J. Palacio ,"New York, New York"
39,José Mauro de Vasconcelos,Brazilian
40,texto Maria Francisca Macedo ,none
41,Neil Gaiman ,British writer
42,David Walliams ,British
43,"Ana Maria Magalhães, Isabel Alçada ",none
44,António Sérgio ,none
45,Carlo Collodi ,Italian
46,Álvaro Magalhães ,none
47,Ana Maria Magalhães e Isabel Alçada ,none
48,Roger Lancelyn Green ,none
49,André Letria,none
50,H. G. Wells ,Male
51,Edmundo de Amicis ,Italian
52,Bobbie Peers ,none
53,Trudi Trueit ,American
54,Catarina Sobral,Portuguese
55,texto e il. Alexandra Lucas Coelho,none
56,Roger Ycaza ,none
57,"Ana Pessoa, Joana Estrela",none
58,texto Inês Barahona e Miguel Fragata ,none
59,Elisabeth Gifford ,none
60,Joana Lopes e Mafalda Milhões,none
61,Roberto Innocenti ,none
62,Peter Brown ,Pierre Lynn de Lappe
63,Gonçalo M. Tavares ,none
64,Paul Auster ,American
65,texto e il. Howard Pyle ,"Wilmington, Delaware"
66,Alexandre Dumas ,none
67,Alexandra Lucas Coelho,none
68,texto de Christophe Gallaz e Roberto Innocenti ,none
69,Beatrix Potter ,born and raised in London
70,Miguel Torga,none
71,José Saramago,"Azinhaga, a small village in the province of Ribatejo, on the right bank of the Almonda River, around a hundred kilometres north-east of Lisbon"
72,Astrid Lindgren ,"Gotland, Sweden"
73,Otried Preussler ,German
74,Filomena Lança,none
75,Kimberly Brubaker Bradley ,England
76,Ricardo Araújo Pereira,none
77,"María Solar, Gusti ",none
78,Jonathan Swift ,Dublin
79,"Daniel H. Chambers, Federico Delicado ",none
80,Luis Sepúlveda ,none
81,Jorge Reis-Sá ,none
82,Rafael Sabatini,He consciously chose to write in his adopted language
83,Robert Louis Stevenson ,"born November 13, 1850 in Edinburgh, Scotland"
84,recontadas por Julia Bruce ,none
85,texto Nuno Markl ,none
86,João Marecos ,none
87,Henri Charrière ,French Guiana
88,[compil.] José Viale Moutinho,none
