,author
0,Louisa May Alcott 
1,William Faulkner 
2,Lois Lowry 
3,João Manuel Ribeiro 
4,António Mota
5,Walter Benjamin 
6,org. José Fanha 
7,Oscar Wilde 
8,John Steinbeck 
9,Manuel Rui
10,Ella Berthoud e Susan Elderkin 
11,Inês Fonseca Santos 
12,Júlio Verne 
13,Rudyard Kipling 
14,Sara Pennypacker 
15,Felipe Nunes
16,Mark Twain. Rikki-tikki-tavi
17,Alice Vieira 
18,Afonso Cruz
19,Charles Dickens 
20,Nikolai Gogol 
21,Álvaro Magalhães
22,renovado por Joseph Bédier 
23,[texto] e il. Valter Hugo Mãe
24,Hans Christian Andersen 
25,Roald Dahl 
26,Joana Bértholo 
27,Brian Selznick 
28,Maria Francisca Macedo 
29,"Isabel Minhós Martins, Bernardo P. Carvalho"
30,Isabel Maria Fidalgo Mateus 
31,Philip Pullman 
32,David Almond 
33,Heather Morris 
34,Michel Rio 
35,José Jorge Letria 
36,Eça de Queirós 
37,Júlio verne 
38,R. J. Palacio 
39,José Mauro de Vasconcelos
40,texto Maria Francisca Macedo 
41,Neil Gaiman 
42,David Walliams 
43,"Ana Maria Magalhães, Isabel Alçada "
44,António Sérgio 
45,Carlo Collodi 
46,Álvaro Magalhães 
47,Ana Maria Magalhães e Isabel Alçada 
48,Roger Lancelyn Green 
49,André Letria
50,H. G. Wells 
51,Edmundo de Amicis 
52,Bobbie Peers 
53,Trudi Trueit 
54,Catarina Sobral
55,texto e il. Alexandra Lucas Coelho
56,Roger Ycaza 
57,"Ana Pessoa, Joana Estrela"
58,texto Inês Barahona e Miguel Fragata 
59,Elisabeth Gifford 
60,Joana Lopes e Mafalda Milhões
61,Roberto Innocenti 
62,Peter Brown 
63,Gonçalo M. Tavares 
64,Paul Auster 
65,texto e il. Howard Pyle 
66,Alexandre Dumas 
67,Alexandra Lucas Coelho
68,texto de Christophe Gallaz e Roberto Innocenti 
69,Beatrix Potter 
70,Miguel Torga
71,José Saramago
72,Astrid Lindgren 
73,Otried Preussler 
74,Filomena Lança
75,Kimberly Brubaker Bradley 
76,Ricardo Araújo Pereira
77,"María Solar, Gusti "
78,Jonathan Swift 
79,"Daniel H. Chambers, Federico Delicado "
80,Luis Sepúlveda 
81,Jorge Reis-Sá 
82,Rafael Sabatini
83,Robert Louis Stevenson 
84,recontadas por Julia Bruce 
85,texto Nuno Markl 
86,João Marecos 
87,Henri Charrière 
88,[compil.] José Viale Moutinho
89,Simon Sebag Montefiore 
90,Almeida Garrett
91,il. Fatinha Ramos
92,adapt. António Sérgio 
93,Lewis Carroll 
94,Judith Kerr 
95,Gine Victor 
96,E. B. White 
97,Camilo Castelo Branco 
98,Agustina Bessa-Luís 
99,Maurice Sendak 
100,Mathias Picard 
101,Shel Silverstein 
102,André Ducci
103,Sophie Plowden 
104,texto e il. dos Alunos da ES 2.3 D. Filipa de Lencastre
105,texto e il. Marco Taylor
106,Mário-Henrique Leiria 
107,T. S. Eliot 
108,Jimmy Liao 
109,org. Aida Sampaio Lemos... [et al.]
110,Jason Reynolds 
111,Harper Lee 
112,Onjali Q. Raúf 
113,adapt. em prosa de João de Barros 
114,Margarida Fonseca Santos 
115,Rosário Alçada Araújo 
116,Arthur Conan Doyle 
117,James Patterson e Chris Grabenstein 
118,Alex Nogués 
119,Luís Sepúlveda 
120,Kelly Barnhill 
121,Morris Gleitzman 
122,Daniel Defoe 
123,Laia de Ahumada 
124,Eleanor H. Porter 
125,Dino Buzzati 
126,Manuel António Pina
127,"org., transcr. e extratextos Victor Correia"
128,"António José da Silva, o Judeu"
129,Catarina Fonseca
130,Fernando Pessoa & Apóstolos 
131,Erin Entrada Kelly 
132,Suzanne Heller 
133,"coord. Leonor Abecasis, Isabel Oliveira Martins, Larissa Shotropa "
134,Manuela Gonzaga
135,"Eça de Queiroz. Bartleby, o escrivão : uma história de Wall Street"
136,Ana Pessoa 
137,M. Margarida Pereira-Müller 
138,Jaroslav HaÅ¡ek 
139,Sofia Martinez
140,Valter Hugo Mãe 
141,adapt. Aquilino Ribeiro 
142,Sarah Lean 
143,Condessa de Ségur 
144,Francisco Sousa Faria da Silva
145,Selma Lagerlöf 
146,Paul Theroux 
147,"Isabel Peixeiro, Margarida Fonseca Santos, Rosário Padinha Ribeiro"
148,Miguel de Cervantes 
149,reconstituído por Afonso Lopes Vieira 
150,Pero Vaz de Caminha
151,Howard Pyle 
152,concebido e escrito por Lucy Ferry 
153,Gentil Marques 
154,Mark Twain 
155,Christelle Dabos 
156,Alan Gratz 
157,Susana Monteagudo 
158,Gianni Rodari 
159,Jorge Canuto Glória 
160,argumento Dominique Ziegler 
161,texto José Jorge Letria 
162,Margarida Fonseca Santos
163,org. de António Botto 
164,Timothée de Fombelle 
165,Béja e Nataël 
